accessor/identifier,accessor/identifierType,category,identifier,kind,timeStamp,type,outOfProcess,initiatedType,context,domain,contextVerificationType,domainType,firstTimeStamp,bundleID,domainOwner,hits,domainClassification
com.apple.mobilemail,bundleID,contacts,ED7B272B-794C-4249-A84A-21D968B83490,intervalBegin,2022-04-08T03:58:28.114+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,52FE0198-8D7F-4C77-BCEC-C25350370D07,intervalEnd,2022-04-08T03:59:42.943+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,ED7B272B-794C-4249-A84A-21D968B83490,intervalEnd,2022-04-08T03:59:42.944+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,F80C7D2D-0067-4038-953A-CF6419F1D5A6,intervalBegin,2022-04-08T04:05:41.091+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,F80C7D2D-0067-4038-953A-CF6419F1D5A6,intervalEnd,2022-04-08T04:05:41.526+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,38ECFFD2-A5B2-4A17-838E-1CDE081904CD,intervalBegin,2022-04-08T04:07:46.815+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,38ECFFD2-A5B2-4A17-838E-1CDE081904CD,intervalEnd,2022-04-08T04:07:48.034+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,397CD06B-DCDB-4CD2-BE46-260F98E56A9D,intervalBegin,2022-04-08T04:10:44.766+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,397CD06B-DCDB-4CD2-BE46-260F98E56A9D,intervalEnd,2022-04-08T04:11:16.880+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,9C9FD208-0F0E-48F8-B4D5-D8A4B6F557F3,intervalBegin,2022-04-08T04:12:27.538+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,9C9FD208-0F0E-48F8-B4D5-D8A4B6F557F3,intervalEnd,2022-04-08T04:12:27.740+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,59E23D88-C024-4BAD-940A-01ECC33FF4A5,intervalBegin,2022-04-08T04:14:27.496+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,59E23D88-C024-4BAD-940A-01ECC33FF4A5,intervalEnd,2022-04-08T04:27:49.398+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,1CD58608-BABB-4688-9B3F-91C08C6D98B2,intervalBegin,2022-04-08T05:15:02.347+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,1CD58608-BABB-4688-9B3F-91C08C6D98B2,intervalEnd,2022-04-08T05:15:02.809+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,982BC6CA-414C-4D51-9872-635B1D62D6A6,intervalBegin,2022-04-08T05:17:03.154+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,982BC6CA-414C-4D51-9872-635B1D62D6A6,intervalEnd,2022-04-08T05:17:03.432+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,026E8107-0F5B-4DFA-BA96-158FC56FE7A1,intervalBegin,2022-04-08T05:17:19.915+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,026E8107-0F5B-4DFA-BA96-158FC56FE7A1,intervalEnd,2022-04-08T05:17:20.757+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,85D8400D-5335-4073-AD8D-8E89C8D7FF7F,intervalBegin,2022-04-08T05:17:36.262+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,85D8400D-5335-4073-AD8D-8E89C8D7FF7F,intervalEnd,2022-04-08T05:18:06.175+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,49131930-5151-4238-A286-B676A6ABFAED,intervalBegin,2022-04-08T05:18:09.378+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,49131930-5151-4238-A286-B676A6ABFAED,intervalEnd,2022-04-08T05:18:09.567+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,A9896171-9E13-4463-903F-91284DDA6EB1,intervalBegin,2022-04-08T05:18:24.314+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,D6E2D45B-8B60-4873-9AAE-6D947EC776DC,intervalBegin,2022-04-08T05:18:25.801+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,6E02F0C6-889D-46D2-B40E-01FE0C6A42F8,intervalBegin,2022-04-08T05:18:26.871+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,contacts,CA7C5279-5CEE-496B-8DD2-9C44E8108E39,intervalBegin,2022-04-08T05:18:40.003+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,contacts,CA7C5279-5CEE-496B-8DD2-9C44E8108E39,intervalEnd,2022-04-08T05:19:24.912+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,contacts,F38218DF-4368-4925-BD5A-7BEE5714986E,intervalBegin,2022-04-08T05:19:28.927+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,A9896171-9E13-4463-903F-91284DDA6EB1,intervalEnd,2022-04-08T05:19:39.172+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,6E02F0C6-889D-46D2-B40E-01FE0C6A42F8,intervalEnd,2022-04-08T05:19:41.636+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,contacts,F38218DF-4368-4925-BD5A-7BEE5714986E,intervalEnd,2022-04-08T05:20:13.866+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,contacts,F31F2B8D-71F0-4410-9A5F-48FAC2723651,intervalBegin,2022-04-08T05:21:21.914+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,contacts,F31F2B8D-71F0-4410-9A5F-48FAC2723651,intervalEnd,2022-04-08T05:28:56.282+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,D6E2D45B-8B60-4873-9AAE-6D947EC776DC,intervalEnd,2022-04-08T05:29:00.228+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,15EAB4A7-F627-4AE0-843C-794DBA9F6E19,intervalBegin,2022-04-08T06:15:53.929+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,15EAB4A7-F627-4AE0-843C-794DBA9F6E19,intervalEnd,2022-04-08T06:15:54.519+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,7C3A5C65-4B30-4188-A7EA-DB2617D35B76,intervalBegin,2022-04-08T06:19:54.092+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,7C3A5C65-4B30-4188-A7EA-DB2617D35B76,intervalEnd,2022-04-08T06:19:55.036+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,E989AB9E-9BF0-41B1-9808-199FA0310659,intervalBegin,2022-04-08T06:20:36.249+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,D75DB162-EC81-4BED-B7CD-662900373027,intervalBegin,2022-04-08T06:20:36.249+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,808F1A85-E22B-4F00-9C31-28751822B2B8,intervalBegin,2022-04-08T06:20:39.265+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,808F1A85-E22B-4F00-9C31-28751822B2B8,intervalEnd,2022-04-08T06:21:11.215+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,D75DB162-EC81-4BED-B7CD-662900373027,intervalEnd,2022-04-08T06:21:13.115+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,17CD5224-6199-4852-A414-DF5949FECA18,intervalBegin,2022-04-08T06:21:55.656+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,17CD5224-6199-4852-A414-DF5949FECA18,intervalEnd,2022-04-08T06:21:55.910+04:00,access,,,,,,,,,,,
com.apple.mobilemail,bundleID,contacts,E989AB9E-9BF0-41B1-9808-199FA0310659,intervalEnd,2022-04-08T06:21:59.686+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,142CFC28-0A74-4904-9F9F-6336210B9D7F,intervalBegin,2022-04-08T06:23:55.519+04:00,access,,,,,,,,,,,
com.apple.mobileslideshow,bundleID,photos,142CFC28-0A74-4904-9F9F-6336210B9D7F,intervalEnd,2022-04-08T06:30:40.585+04:00,access,,,,,,,,,,,
com.apple.mobilecal,bundleID,contacts,055C6D37-1E00-4D86-98EA-7536C245BDF1,intervalBegin,2022-04-08T07:33:27.685+04:00,access,,,,,,,,,,,
