ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,What word best describes this sound? ,On a scale from 1 to 5 how loud was this sound?,What kind of sound is this? ,Other - What kind of sound is this? ,On a scale from 1 to 5 how loud was this sound? (from most faint to loudest),Is there anything else we need to know about this sound? ,Are you outdoors or indoors? ,"What level are you on?  (0 = ground, 9= 9th floor or higher)",x,y
58,fcb883e5-dbc6-41f4-85cd-33b143f2a149,4/5/2022 11:05:35 AM,adsp22_mf3846,4/28/2022 9:49:29 AM,adsp22_mf3846,keyboard typing,,Machine,,3,"several sources, chaotic sound",Indoors,0,54.433814585195,24.5242309756771
59,795db8c0-b691-4448-9fb2-6c6b26975823,4/5/2022 11:08:48 AM,adsp22_ss13189,4/5/2022 11:08:48 AM,adsp22_ss13189,ramadan,,Machine,,4,,Indoors,0,54.4358293,24.5227946
60,8d0d8914-c92c-4019-8fc4-480dea6facfb,4/5/2022 11:13:16 AM,adsp22_mf3846,4/28/2022 9:49:38 AM,adsp22_mf3846,graphite (pencil) on paper,,other,human created but an object is making the sound,2,I haven't written with pencil in a long time so the sound stood out,Indoors,0,54.4338172674039,24.5242309756771
62,e4fd14c9-564c-4a87-947c-81a326b2ff0e,4/5/2022 11:24:13 AM,adsp22_mf3846,4/28/2022 9:41:24 AM,adsp22_mf3846,click barcode recognized,,Machine,,2,"[distracted/annoyed] loud at the entrance of convenient store, repeated but not periodic sound",Indoors,1,54.4341557326121,24.524297440875
63,c87b640c-95d9-4e7b-bc4f-f1551851dbf4,4/5/2022 11:26:05 AM,adsp22_mf3846,4/28/2022 9:47:33 AM,adsp22_mf3846,many conversations,,Human,,Loud 5,"[bothered by sound] chaotic, many overlapping conversations, none relevant to me",Indoors,1,54.4341235461044,24.5242876799369
65,ba11ed75-db4b-48a5-9029-32d5510f9991,4/5/2022 11:26:07 AM,adsp22_mf3846,4/28/2022 9:36:15 AM,adsp22_mf3846,fridges buzzing,,Machine,,4,"[fridges = calming sound, predictable, constant] I could still hear the barcode clicks from the counter even though fridges felt louder; fridges sound was more constant",Indoors,1,54.4340913595957,24.5243084219294
66,4eafd598-8286-4412-abaf-1d1e77711b54,4/5/2022 11:54:32 AM,adsp22_mf3846,4/28/2022 9:38:09 AM,adsp22_mf3846,construction muffled,,Machine,,Faint 1,,Indoors,0,54.4337783753728,24.5233890915377
67,f30914fe-767e-41c2-b913-38eddaf831d6,4/7/2022 5:05:36 AM,adsp22_mim7995,4/7/2022 5:05:36 AM,adsp22_mim7995,Bird sounds,,Natural,,4,Palms 9am,,,54.4341528938835,24.5239893026897
68,9d6a45e7-d184-4da4-8dff-4f032b933738,4/7/2022 2:19:02 PM,adsp22_ss13189,4/7/2022 2:19:02 PM,adsp22_ss13189,meditative,,other,,4,,Indoors,2,54.4338388,24.524414
69,fe77ea41-0482-438e-945a-819ef57f3da2,4/9/2022 7:12:33 AM,adsp22_as13966,4/9/2022 7:12:33 AM,adsp22_as13966,Birds ,,Natural,,Faint 1,,Outdoors,2,54.4349064957857,24.5230926945961
